Index,Role,KPP Goals,Measurement Criteria,Tool,Measure,Type,Aggregation Type,Weekly Target,Quarterly Target,Annual Target,Goal Type,Prorate
k171,Documentation Specialist,Content Quality,Clarity and accuracy of generated content,,"Qualitative assessment (e.g., 1-5 scale or user feedback)",F,,,0,,,Yes
k172,Documentation Specialist,User Feedback,Satisfaction level of end-users with the documentation provided,,Percentage (%) or score on a predefined scale,PG,,,0,,,Yes
k173,Integration Tester,User Story,JIRA story points complete,JIRA,Story Points completed,NG,ANG,4,48,192,Output,Yes
k174,Support Lead,Customer Incident Management,Number of tickets worked on,TAC Portal,Number of tickets (TAC workgroup),NG,ANG,2,11.25,45,,Yes
k175,Support Lead,Customer Defects Management (Team),Customer Defects handled (Team),TAC Portal,Customer Defects handled (Team),NG,ANG,5,60,240,,Yes
k176,Support Lead,New Feature Analysis / Enhancement (Custom Product Config),Number of tickets worked on,TAC Portal,Number of tickets worked on (Enhancements),NG,ANG,1,1.5,6,,Yes
k177,Support Lead,New Customer Enablement (RFP Response),RFP/Cutomer requirement analysis handled,JIRA,RFP/Cutomer requirement analysis handled,NG,,1,1,4,,Yes
k178,Support Lead,Mentoring Others,Help Instances,Copilot tracker,Help Instances,NG,ANG,1,6.25,25,,Yes
k179,Developer - Support phase,Customer Incident Management /Product Configuration Changes / Product Debugging,Number of tickets worked on,TAC Portal,Number of tickets (incidentSource=Production),NG,ANG,1,15,60,Output,Yes
k180,Developer - Support phase,Product Installation,Number of tickets worked on,TAC Portal,"Number of tickets (resolutionType=resolutionType=Migration, Installation or Update, other relevant)",NG,ANG,1,1,4,Output,Yes
k181,Developer - Support phase,Device Interop / PoC Support / Other,Number of tickets worked on,TAC Portal,Number of tickets worked on (Interop),NG,ANG,1,1,4,Output,Yes
k182,Developer - Support phase,New Technology Training,Number of tranings completed,Copilot tracker,Number of tranings completed,NG,ANG,1,2,6,Hygiene,Yes
k183,DBA-UDM,Table purging,Number of tickets worked on,TAC Portal,Number of tickets worked on,NG,ANG,1,1.25,5,Output,Yes
k184,DBA-UDM,DB support for maintanace,Number of tickets tagged database,TAC Portal,Number of tickets tagged database,NG,ANG,1,2.5,10,Output,Yes
k185,Incident Response UDM,Monitor the customer environment,Number of tickets worked on,TAC Portal,Number of tickets (underlyinCause=Monitoring),NG,ANG,1,3,12,Output,Yes
k186,Incident Response UDM,Troubleshooting/Production call support,Number of tickets worked on,TAC Portal,Number of tickets (incidentSource=Production),NG,ANG,1,10,40,Output,Yes
k187,Incident Response UDM,"Adhoc (UDM installation, Migration)",Number of tickets worked on,TAC Portal,"Number of tickets (resolutionType=rMigration, Installation or Update, other relevant)",NG,ANG,1,1,4,Output,Yes
k188,Incident Response UDM,Mentoring new joinee,Help Instances,Copilot tracker,Help Instances,NG,ANG,1,3,12,Hygiene,Yes
k189,Incident Response UDM,New Technology Training,Trainings completed,HCL Portal,Form Response,NG,ANG,1,3,12,Hygiene,Yes
k190,Test Engineer - Support,First level customer issue analysis,k185+k186 worked on,TAC Portal,k185+k186 worked on,NG,ANG,4,25,100,,Yes
k191,Test Engineer - Support,Deployment support,Number of tickets worked on,TAC Portal,Number of tickets ((resolutionType=Multiple relevant),NG,ANG,1,3,12,,Yes
k192,Test Engineer - Support,UDM install,Number of tickets worked on,TAC Portal,"Number of tickets (resolutionType=Migration, Installation or Update, other relevant)",NG,ANG,1,3,12,,Yes
k193,Test Engineer - Support,Creating Artifacts,Number of Artifacts added,Wiki,Number of Artifacts added,NG,ANG,1,3,12,,Yes
k194,Junior Software Engineer,UT creation,#UT cases,Copilot tracker,Number per week,NG,ANG,10,60,240,Hygiene,Yes
k195,Software Engineer,UT creation,#UT cases,Copilot tracker,Number per week,NG,ANG,10,60,240,,Yes
k196,Developer - Support phase,UT creation,#UT cases,Copilot tracker,Number per week,NG,ANG,10,15,60,Hygiene,Yes
k197,Backend Engineer,UT creation,#UT cases,Copilot tracker,Number per week,NG,ANG,10,60,240,Hygiene,Yes
k198,Embedded Software Engineer,UT creation,#UT cases,Copilot tracker,Number per week,NG,ANG,10,60,240,,Yes
k199,Scrum Master,Release Planning: Develop detailed release plans.,Release Planning: Develop detailed release plans.,JIRA,> Team Size * Target SP,TG,,7,70,280,Hygiene,Yes
k200,Scrum Master,Project Delivery: Ensure projects are delivered on time.,Project Delivery: Timeliness of project delivery.,JIRA,Delayed Story Points for full team < ,NL,,0.0,5.0,20.0,Hygiene,No
k201,Scrum Master,Team Guidance: Provide effective technical guidance to the team.,Team Guidance: Team’s performance and feedback.,Copilot tracker,Help instances,NG,ANG,1,25,100,,Yes
k202,Scrum Master,Person Utilization Rate,Story Points per sprint per Person (Product Team),JIRA,Story Points per sprint per Person (Product Team),RG,ANG,3.8,8,8,Input,No
k203,Scrum Master,Code Review: Ensure high code quality across the team.,Code Review: frequency of code reviews.,GitHub,Number of reviews done in team >,NG,ANG,14,37.5,150,Quality,Yes
k204,All,Merge code,# Merges,GitHub,Number of merges,NG,ANG,1,12,48,Output,Yes
k205,All,Unique JIRA committed,# Unique JIRA committed,GitHub,#Unique JIRA committed,NG,ANG,2,12.5,50,Output,Yes
k206,All,Reviews,# Reviews ,GitHub,# Reviews initiated,NG,ANG,1.0,12.0,46.0,Hygiene,Yes
k207,Tech Lead,Person Utilization Rate,Story Points per sprint per Person (Product Team),JIRA,Story Points per sprint per Person (Product Team),RG,ANG,4,24,96,,No
k208,Tech Lead,Coding Efficiency: Code generation for efficiency (Product Team) (Target*Team Size),Coding Efficiency: Copilot Code,Copilot Metrics,Copilot LOC (Product Team) (Target*Team Size) >= ,TG,ANG,40,400,1600,Output,Yes
k209,Application Designer,Feature Implementation: Deliver new features within deadlines.,Feature Implementation: Number of features delivered on time.,JIRA,Story Points per Person,RG,ANG,4,49,196,,No
k210,Application Designer,Code Efficiency: Write efficient and optimized code.,Code Efficiency: Measured through code reviews and performance benchmarks,GitHub,GITHub LOC Added,NG,ANG,80,800,3200,,Yes
k211,Application Designer,"Code Quality: execute UT, Maintain high code quality and readability.","Code Quality: Code review scores, adherence to coding standards.",GitHub,Review comments received <,NL,ANL,5,60,240,,Yes
k212,Application Designer,Team Guidance: Provide effective technical guidance to the team.,Team Guidance: Team’s performance and feedback.,Copilot tracker,Help instances,NG,ANG,1,12,48,,Yes
k213,Common,Time in meetings (Not linked to JIRA tasks) (1 Week),Time in meetings (Not linked to JIRA tasks)(1 Week),Copilot tracker,Hours in meetings <,NL,,5,30,120,Hygiene,Yes
k214,All,UT creation,#UT cases,Copilot tracker,Number per week,NG,ANG,10,60,240,Hygiene,Yes
k215,Common,Team Level : Time spent in meetings (Average Weekly),Average time in meetings (Tasks not linked to JIRA),Copilot tracker,Team average per person  hours in meetings <,NL,,5,30,120,,No
k216,Tech Lead,Average Dev Cycle time - Bugs (Team),Average Dev Cycle time - Bugs (Team),JIRA,Average Dev Cycle time - Bugs (Team),NL,ANL,10,2.5,10,Quality,No
k217,Scrum Master,Assignment Delay - Bugs (Team),Assignment Delay - Bugs (Team),JIRA,Assignment Delay - Bugs (Team),NL,,1,0.25,1,,Yes
k218,QA Engineer,Bug Reporting: Provide clear and detailed bug reports.,Bug Reporting: Quality and clarity of bug reports.,JIRA,#Bugs referred back for information <,NL,ANL,1,12,48,,Yes
k219,Common,LOC per team,,GitHub,Total LOC at team level,NG,ANG,10000,60000,240000,,Yes
k220,All,Story Points delivered,Story Points delivered,JIRA,Total SP delivered ,NG,ANG,4,40,160,Output,Yes
k221,Common,Story Points delivered by Team (Target*Team Size),,JIRA,Story Points delivered by Team (Target*Team Size),TG,ANG,4,1,4,,No
k222,All,LOC delivered per SP,"LOC delivered including Dev and Test code, UI",JIRA,k219/k221 >=,NG,ANG,100,25,100,Quality,No
k223,Metric,Tracker Updates (Total),Tracker Updates (Total),Copilot tracker,Tracker Updates (Total),AG,ANG,5,50,200,,Yes
k224,All,Tracker Updates ,Tracker Updates,Copilot tracker,Tracker Updates,NG,ANG,4,50,200,Hygiene,Yes
k225,Metric,Late Entries (Total),# Late entries in tracker,Copilot tracker,# Late entries in tracker <=,AL,,0,10,40,,Yes
k226,Metric,Future Updates (Total),# Future updates in tracker,Copilot tracker,# Future updates in tracker <=,AL,,0,1.25,5,,Yes
k227,All,GITHub LOC Added,GITHub LOC Added,GitHub,GITHub LOC Added,NG,ANG,500,3000,12000,Output,Yes
k228,Metric,Defects Raised (Total),Defects Raised (Total),JIRA,Defects Raised (Total) >=,AG,,5,30,120,,Yes
k229,Common,Defects Raised (1 Week),Defects Raised (1 Week),JIRA,Defects Raised (1 Week) >=,NG,,5,,,Output,Yes
k230,All,Assigned Defects (1 Week),Assigned Defects (1 Week),JIRA,Assigned Defects (1 Week),RG,,5,,,Input,No
k231,Metric,Completed Story Points (Total),Completed Story Points (Total),JIRA,Completed Story Points (Total) >=,AG,,4,50,200,Output,Yes
k232,Metric,Completed Tasks (Total),Completed Tasks (Total),JIRA,Completed Tasks (Total) >=,AG,,2,25,100,,Yes
k233,All,Overdue SP,Overdue SP (2+ week late),JIRA,Overdue SP (2+ week late) <=,NL,,0,0,0,Hygiene,No
k234,Common,Story Points (Latest 2 week Open),Story Points (Latest 2 week Open),JIRA,Story Points (Latest 2 week Open),NL,,8,2,8,,No
k235,All,Current Tasks Assigned,Current Tasks Assigned,JIRA,Current Tasks Assigned in range,RG,,7,,,Input,No
k236,Metric,Code Merges to Main (Total),Code Merges to Main (Total),GitHub,Code Merges to Main (Total) >=,AG,,1,12,48,Output,Yes
k237,DevOps Engineer,CICD Health Check,CICD Health Check status,CICD Tracker,Health Check failed TCs <=,NL,ANL,0,2,5,Quality,No
k238,Common,Sanity Tests Fail % Main Branch ,Sanity Test fail percent,CICD Tracker,Sanity Test fail percent Main branch <=,PL,APL,0%,5%,5%,Quality,No
k239,Common,Sanity Tests Fail % Dev Branch ,Sanity Test fail percent,CICD Tracker,Sanity Test fail percent  Dev branch<=,PL,APL,20%,15%,15%,Quality,No
k240,Security Engineer,SAST Gating issues (Product),SAST (Critical + High),CICD Tracker,SAST (Critical + High) Product <=,NL,ANL,0,2,5,,No
k241,Common,SAST Gating issues (Product),SAST (Critical + High),CICD Tracker,SAST (Critical + High) Product <=,NL,ANL,0,2,5,Quality,No
k242,Security Analyst,SAST Gating issues (Product),SAST (Critical + High),CICD Tracker,SAST (Critical + High) Product <=,NL,ANL,0,2,5,,No
k243,Common,First level customer issue analysis (Role Based),Number of tickets,TAC Portal,Number of tickets (TAC) >=,NG,,4,47.5,190,Output,Yes
k244,Common,Environment Consistency: Maintain consistency across deployment environments.,Environment Consistency: Environment audit results.,CICD Report,CICD Deployment success rate >=,PG,APG,90%,90%,90%,Quality,No
k245,Architect,Data Integrity: Ensure data integrity and reliability.,Data Integrity: Number of data integrity issues found.,JIRA,# Open Bugs tagged Database,NL,ANL,0,1,4,Quality,Yes
k246,Tech Lead,Active participation in reviews,Active participation in reviews - Number ,GitHub,# Reviews actively participated,NG,ANG,4,48,192,,Yes
k247,Feature Owner,Active participation in reviews,Active participation in reviews - Number ,GitHub,# Reviews actively participated,NG,ANG,4,48,192,Hygiene,Yes
k248,Feature Owner,Automation Test Coverage,% Coverage of new code by Automation tests,JIRA,Automation tests added by Scrum Team,NG,ANG,10,100,400,Output,Yes
k249,Feature Owner,Requirement traceability,"Test, UI, Backend, Perf etc tasks present",JIRA,"Test, UI, Backend, Perf, Scan, CI etc tasks present",PG,,100%,100%,100%,Hygiene,No
k250,Feature Owner,Team Guidance: Provide effective technical guidance to the team.,Team Guidance: Team’s performance and feedback.,Copilot tracker,Help instances in Scrum Team,NG,ANG,5,30,120,Hygiene,Yes
k251,Common,Unit Tests Pass % (Product),Unit Tests Pass %,CICD Tracker,Unit Tests Pass % (Product),PG,APG,80%,90%,90%,Quality,No
k252,Scrum Master,Unit Tests Pass % (Product),Unit Tests Pass %,CICD Tracker,Unit Tests Pass % (Product),PG,APG,80%,90%,90%,Quality,No
k253,Feature Owner,Planning: Develop detailed plans and deliver,Adherence to release plans.,JIRA,Sprint content as per plan (Scrum Team Delayed SP <),NL,,0,5,20,Hygiene,Yes
k254,Developer - Support phase,New Feature Analysis / Enhancement (Custom Product Config),Number of tickets worked on,TAC Portal,Number of tickets worked on (Enhancements),NG,ANG,1,1.5,6,Output,Yes
k255,Weekly Score,Score,Score,Computation,Computation,NG,,75,22.5,90,,Yes
k256,Annual Score,Score,Score,Computation,Computation,NG,,75,22.5,90,,Yes
k257,Parameter,Team Size,Team Size,Computation,Computation,,,,,,,Yes
k258,Message,Message to be shared,Message to be shared,Computation,Computation,,,,0,,,Yes
k259,Common,Technical Debt,Unplanned Pending defects,JIRA/TAC Portal,#Open Bugs/Tickets in Unplanned (To Do) state,NL,ANL,40,40,30,Hygiene,No
k260,Sr Software Engineer,SAST Gating issues (Product),SAST (Critical + High),CICD Tracker,SAST (Critical + High) Product <=,NL,ANL,0,2,2,Quality,No
k261,Sr Software Engineer,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,3,40,160,,Yes
k262,Sr Software Engineer,Active participation in reviews,Active participation in reviews - Number ,GitHub,# Reviews actively participated,NG,ANG,4,48,192,,Yes
k263,Sr Software Engineer,Unit Tests Pass % (Product),Unit Tests Pass %,CICD Tracker,Unit Tests Pass % (Product),PG,APG,80%,80%,90%,,No
k264,Sr Integration Tester,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,3,40,160,,Yes
k265,Sr Integration Tester,Active participation in reviews,Active participation in reviews - Number ,GitHub,# Reviews actively participated,NG,ANG,4,48,192,,Yes
k266,Sr Integration Tester,Automation: Automate repetitive tasks.,Automation: Number of automated tasks versus manual interventions.,CICD report,# Deployment automation,NG,ANG,1,5,20,,Yes
k267,Sr Integration Tester,CI/CD Pipeline Efficiency: Maintain efficient CI/CD pipeline,CI/CD Pipeline Efficiency: Deployment frequency and success rate.,CICD report,Successful Build/Total Automated Builds,PG,APG,90%,90%,90%,,No
k268,Developer,Code generation ratio,Individual: k227/k1 (9999 if Copilot LOC=0). Team/Scrum: sum(k227 for Developers) / sum(k1 for Developers) — same-member-base ratio avoids 9999 sentinel inflation. k1=Copilot LOC; k227=GIT LOC committed.,GitHub,k227/k1,NL,ANL,2,2,2,Hygiene,No
k269,Data Engineer,Feature Implementation: Deliver new features within deadlines.,Feature Implementation: Number of features delivered on time.,JIRA,Story Points,NG,ANG,4,45,180,Output,Yes
k270,Data Engineer,Code Quality: Maintain high code quality and readability.,"Code Quality: Code review scores, adherence to coding standards.",GitHub,Review comments received <,NL,ANL,25,125,500,Quality,Yes
k271,Data Engineer,Query Performance: Optimize database queries for efficiency.,Query Performance: Execution time and resource consumption of queries.,Query Profiler,Query execution time <,NL,ANL,100,100,100,Quality,No
k272,Data Scientist,Feature Implementation: Deliver new features within deadlines.,Feature Implementation: Number of features delivered on time.,JIRA,Story Points,NG,ANG,4,45,180,Output,Yes
k273,Data Scientist,Code Quality: Maintain high code quality and readability.,"Code Quality: Code review scores, adherence to coding standards.",GitHub,Review comments received <,NL,ANL,25,125,500,Quality,Yes
k274,Data Scientist,Identify or discover new technologies / frameworks and share,Research Technologies,JIRA,research-new-tech-analysis,NG,ANG,1,6,24,Input,Yes
k275,Development Manager,Strategic Planning: Develop and execute strategic plans,Strategic Planning: Alignment with organizational goals,JIRA,Strategic initiatives completed,NG,ANG,1,3,12,Output,Yes
k276,Development Manager,Team Performance: Ensure high performance of development teams,Team Performance: Team velocity and delivery metrics,JIRA,Team velocity trend,PG,APG,10,10,10,Output,No
k277,Development Manager,Stakeholder Management: Effectively manage stakeholder expectations,Stakeholder Management: Stakeholder satisfaction scores,Feedback,Stakeholder satisfaction,PG,APG,80,80,85,Quality,No
k278,Lead Data Scientist,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,1,12.5,50,Hygiene,Yes
k279,Lead Data Scientist,Project Delivery: Ensure projects are delivered on time.,Project Delivery: Timeliness of project delivery.,JIRA,SP delivered/team member (RM Heirarchy),NG,ANG,3.8,35,140,Output,Yes
k280,Lead Data Scientist,Identify or discover new technologies / frameworks and share,Research Technologies,JIRA,research-new-tech-analysis,NG,ANG,1,6,24,Input,Yes
k281,Lead Developer,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,1,12.5,50,Hygiene,Yes
k282,Lead Developer,Project Delivery: Ensure projects are delivered on time.,Project Delivery: Timeliness of project delivery.,JIRA,SP delivered/team member (RM Heirarchy),NG,ANG,3.8,35,140,Output,Yes
k283,Lead Developer,Architecture: Design scalable and maintainable system architecture,Architecture: Design review scores and system scalability,Design Review,Architecture design quality,PG,APG,80,80,85,Quality,No
k284,Lead Tester,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,1,12.5,50,Hygiene,Yes
k285,Lead Tester,Bug Identification: Efficiently identify bugs before release.,Bug Identification: Number of bugs found during testing phase.,JIRA,Bugs detected >,NG,ANG,5,30,120,Output,Yes
k286,Lead Tester,Automation: Increase the number of automated tests.,Automation: Ratio of automated tests to manual tests.,CICD report,# Automation tests,NG,ANG,9,107.5,430,Hygiene,Yes
k287,Lead Tester,Test Documentation: Maintain clear and thorough test documentation.,Test Documentation: Quality and completeness of test documentation.,JIRA,JIRA task for test plan,NG,ANG,1,6,24,Hygiene,Yes
k288,Offshore Lead,Code Review: Ensure high code quality across the team.,Code Review: Quality and frequency of code reviews.,GitHub,Number of reviews where approver,NG,ANG,1,12.5,50,Hygiene,Yes
k289,Offshore Lead,Project Delivery: Ensure projects are delivered on time.,Project Delivery: Timeliness of project delivery.,JIRA,SP delivered/team member (RM Heirarchy),NG,ANG,3.8,35,140,Output,No
k290,Offshore Lead,Team Coordination: Coordinate offshore team activities effectively,Team Coordination: Team collaboration metrics,Team Feedback,Team coordination score,PG,APG,80,80,85,Quality,No
k291,Splunk Architect,Architecture: Design scalable and maintainable system architecture,Architecture: Design review scores and system scalability,Design Review,Architecture design quality,PG,APG,80,80,85,Quality,No
k292,Splunk Architect,Technical Documentation: Create comprehensive technical documentation,Technical Documentation: Quality and completeness of documentation,Documentation Review,Documentation quality score,PG,APG,80,80,85,Quality,No
k293,Splunk Architect,System Performance: Optimize system performance and reliability,System Performance: Performance benchmarks and uptime,Monitoring,System uptime %,PG,APG,95,95,99,Quality,No
k294,Support,Incident Resolution Time: Reduce time to resolve support incidents,Incident Resolution Time: Average time to resolve incidents,Support Tracker,Average resolution time <,NL,ANL,4,4,4,Output,No
k295,Support,Customer Satisfaction: Maintain high customer satisfaction,Customer Satisfaction: Customer satisfaction scores,CSAT Survey,Customer satisfaction score,PG,APG,85,85,90,Quality,No
k296,Web Developer,Code Quality: Maintain high code quality and readability.,"Code Quality: Code review scores, adherence to coding standards.",GitHub,Review comments received <,NL,ANL,25,125,500,Quality,Yes
k297,Web Developer,UI Development: Develop high-quality user interfaces,UI Development: Number of UI components delivered,JIRA,UI components delivered,NG,ANG,3,30,120,Output,Yes
k298,Web Developer,User Experience: Ensure positive user experience,User Experience: User feedback and usability scores,User Feedback,User experience score,PG,APG,80,80,85,Quality,No
k299,All,Total Test Code Lines Committed: Track test code contributions,Total Test Code Lines Committed: Total lines of test code (added) committed per individual,GitHub,Test code lines added,NG,ANG,100,600,2400,Output,Yes
k300,All,Test Code to Total Code Ratio: Maximize test coverage in commits,Test Code to Total Code Ratio: Percentage of test code lines relative to total code lines committed,GitHub,Test code ratio (%),PG,APG,20,20,20,Hygiene,No
k301,All,DAST Gating Issues: Track total DAST security issues per team,DAST Gating Issues: Sum of High and Medium severity issues from AppScan DAST HTML reports (source: Summary of security issues section). If a team has multiple scan projects the counts are summed. Monthly/Quarterly/Annual values use median of weekly scans in the respective period.,AppScan DAST,DAST High+Medium issues (team total),NL,ANL,0,15,15,Quality,No
k302,All,SAST Gating Issues: Track total SAST security issues per team,SAST Gating Issues: Sum of High and Medium severity issues from AppScan SAST HTML reports (source: Summary of security issues section). If a team has multiple scan projects the counts are summed. Monthly/Quarterly/Annual values use median of weekly scans in the respective period.,AppScan SAST,SAST High+Medium issues (team total),NL,ANL,0,15,15,Quality,No
k303,All,SCA Gating Issues: Track total SCA security issues per team,SCA Gating Issues: Sum of High and Medium severity issues from AppScan SCA HTML reports (source: Summary of security issues section). If a team has multiple scan projects the counts are summed. Monthly/Quarterly/Annual values use median of weekly scans in the respective period.,AppScan SCA,SCA High+Medium issues (team total),NL,ANL,0,30,30,Quality,No
k304,All,MEND Gating Issues: Track total Mend security issues per team,MEND Gating Issues: Sum of High and Medium severity issues from Mend PDF reports (source: Severity Distribution section). If a team has multiple scan projects the counts are summed. Monthly/Quarterly/Annual values use median of weekly scans in the respective period.,MEND,MEND High+Medium issues (team total),NL,ANL,0,20,20,Quality,No
k305,Security Engineer,Unified Security Gating Issues: Aggregate security gating exposure across all scan channels,"Unified Security Gating Issues: Sum of High and Medium severity issues from DAST, SAST, SCA and MEND gating KPIs (k301+k302+k303+k304). Aggregated at team level and assigned to individuals. Monthly/Quarterly/Annual values reflect aggregated period medians from component KPIs.",Security Analytics,Unified gating issues (DAST+SAST+SCA+MEND),NL,ANL,0,50,50,Quality,No
k306,Architect,Unified Security Gating Issues: Aggregate security gating exposure across all scan channels,Equivalent KPI to k305 for Architect role. Uses the same computation and data (k301+k302+k303+k304 aggregate).,Security Analytics,Unified gating issues (DAST+SAST+SCA+MEND),NL,ANL,0,50,50,Quality,No
k307,Program Manager,Unified Security Gating Issues: Aggregate security gating exposure across all scan channels,Equivalent KPI to k305 for Program Manager role. Uses the same computation and data (k301+k302+k303+k304 aggregate).,Security Analytics,Unified gating issues (DAST+SAST+SCA+MEND),NL,ANL,0,50,50,Quality,No
k308,All,Copilot Agent or Chat Usage: Track adoption of Copilot Agent or Chat features,Copilot Agent or Chat Usage: Number of distinct days user leveraged either Copilot Agent or Chat in the respective period. Individual-level tracking based on user login mapping.,Copilot Metrics,Days with Agent or Chat usage,NG,ANG,4.0,40.0,150.0,Input,Yes
